0x0000    .null
0x000D    nonmarkingreturn
0x0020    SPACE
0x0021  ! EXCLAMATION MARK
0x0028  (
0x0029  )
0x002C  , COMMA
0x002E  . FULL STOP
0x0030  0 DIGIT ZERO
0x0031  1 DIGIT ONE
0x0032  2 DIGIT TWO
0x0033  3 DIGIT THREE
0x0034  4 DIGIT FOUR
0x0035  5 DIGIT FIVE
0x0036  6 DIGIT SIX
0x0037  7 DIGIT SEVEN
0x0038  8 DIGIT EIGHT
0x0039  9 DIGIT NINE
0x003A  : COLON
0x003B  ; SEMICOLON
0x003F  ? QUESTION MARK
0x0041  A LATIN CAPITAL LETTER A
0x0042  B LATIN CAPITAL LETTER B
0x0043  C LATIN CAPITAL LETTER C
0x0044  D LATIN CAPITAL LETTER D
0x0045  E LATIN CAPITAL LETTER E
0x0046  F LATIN CAPITAL LETTER F
0x0047  G LATIN CAPITAL LETTER G
0x0048  H LATIN CAPITAL LETTER H
0x0049  I LATIN CAPITAL LETTER I
0x004A  J LATIN CAPITAL LETTER J
0x004B  K LATIN CAPITAL LETTER K
0x004C  L LATIN CAPITAL LETTER L
0x004D  M LATIN CAPITAL LETTER M
0x004E  N LATIN CAPITAL LETTER N
0x004F  O LATIN CAPITAL LETTER O
0x0050  P LATIN CAPITAL LETTER P
0x0051  Q LATIN CAPITAL LETTER Q
0x0052  R LATIN CAPITAL LETTER R
0x0053  S LATIN CAPITAL LETTER S
0x0054  T LATIN CAPITAL LETTER T
0x0055  U LATIN CAPITAL LETTER U
0x0056  V LATIN CAPITAL LETTER V
0x0057  W LATIN CAPITAL LETTER W
0x0058  X LATIN CAPITAL LETTER X
0x0059  Y LATIN CAPITAL LETTER Y
0x005A  Z LATIN CAPITAL LETTER Z
0x0061  a LATIN SMALL LETTER A
0x0062  b LATIN SMALL LETTER B
0x0063  c LATIN SMALL LETTER C
0x0064  d LATIN SMALL LETTER D
0x0065  e LATIN SMALL LETTER E
0x0066  f LATIN SMALL LETTER F
0x0067  g LATIN SMALL LETTER G
0x0068  h LATIN SMALL LETTER H
0x0069  i LATIN SMALL LETTER I
0x006A  j LATIN SMALL LETTER J
0x006B  k LATIN SMALL LETTER K
0x006C  l LATIN SMALL LETTER L
0x006D  m LATIN SMALL LETTER M
0x006E  n LATIN SMALL LETTER N
0x006F  o LATIN SMALL LETTER O
0x0070  p LATIN SMALL LETTER P
0x0071  q LATIN SMALL LETTER Q
0x0072  r LATIN SMALL LETTER R
0x0073  s LATIN SMALL LETTER S
0x0074  t LATIN SMALL LETTER T
0x0075  u LATIN SMALL LETTER U
0x0076  v LATIN SMALL LETTER V
0x0077  w LATIN SMALL LETTER W
0x0078  x LATIN SMALL LETTER X
0x0079  y LATIN SMALL LETTER Y
0x007A  z LATIN SMALL LETTER Z
0x0301 COMBINING ACUTE ACCENT
